RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
   62   67     0     0  con    0  1.0D+00  9.2D-03  8.138D-05  4.935D-01
   63   68     0     0  con    0  1.0D+00  4.7D-03  3.077D-05  4.935D-01
   64   69     0     0  con    0  1.0D+00  3.8D-03  1.413D-04  4.935D-01
   65   70     0     0  con    0  1.0D+00  7.6D-04  6.996D-05  4.935D-01
   66   71     0     0  con    0  1.0D+00  2.2D-03  3.081D-05  4.935D-01
   67   72     0     0  con    0  1.0D+00  1.5D-03  5.698D-05  4.935D-01
   68   74     0     0  con    1  1.7D-01  8.1D-03  1.748D-04  4.935D-01
   69   77     0     0  con    2  2.1D+01  6.0D-03  1.888D-04  4.935D-01
   70   78     0     0  con    0  1.0D+00  2.1D-02  1.314D-03  4.935D-01
   71   79     0     0  con    0  1.0D+00  2.3D-02  2.566D-03  4.935D-01
   72   80     0     0  con    0  1.0D+00  4.9D-02  4.308D-03  4.935D-01
   73   81     0     0  con    0  1.0D+00  7.3D-02  5.221D-03  4.935D-01
   74   82     0     0  con    0  1.0D+00  1.8D-01  4.673D-03  4.934D-01
   75   84     0     0  con    1  3.4D-01  1.2D-01  2.636D-03  4.934D-01
   76   85     0     0  con    0  1.0D+00  2.5D-01  2.652D-03  4.934D-01
   77   86     0     0  con    0  1.0D+00  5.4D-01  3.728D-03  4.934D-01
   78   88     0     0  con    1  1.4D-01  6.0D-02  4.850D-03  4.934D-01
   79   89     0     0  con    0  1.0D+00  7.3D-02  2.806D-03  4.934D-01
   80   91     0     0  con    1  5.2D-01  6.5D-02  6.944D-04  4.934D-01
   81   92     0     0  con    0  1.0D+00  2.4D-02  1.985D-04  4.934D-01
   82   93     0     0  con    0  1.0D+00  8.6D-03  1.089D-04  4.934D-01
   83   94     0     0  con    0  1.0D+00  9.8D-03  4.218D-05  4.934D-01
   84   95     0     0  con    0  1.0D+00  1.2D-03  2.057D-05  4.934D-01
   85   96     0     0  con    0  1.0D+00  9.8D-03  1.230D-04  4.934D-01
   86   97     0     0  con    0  1.0D+00  1.1D-03  4.088D-05  4.934D-01
   87   99     0     0  con    1  3.7D-01  2.1D-03  4.369D-05  4.934D-01
   88  100     0     0  con    0  1.0D+00  1.3D-03  3.531D-05  4.934D-01
   89  102     0     0  con    1  4.9D-01  3.0D-03  2.934D-05  4.934D-01
   90  104     0     0  con    1  9.2D-02  3.8D-03  5.388D-05  4.934D-01
   91  105     0     0  con    0  1.0D+00  1.4D-03  4.373D-05  4.934D-01
   92  107     0     0  con    1  1.2D-01  1.2D-04  1.675D-05  4.934D-01
   93  108     0     0  con    0  1.0D+00  3.5D-04  8.621D-06  4.934D-01
   94  109     0     0  con    0  1.0D+00  1.1D-03  1.036D-05  4.934D-01
   95  111     0     0  con    1  3.4D-01  6.7D-04  8.193D-06  4.934D-01
   96  112     0     0  con    0  1.0D+00  8.2D-04  9.703D-06  4.934D-01
   97  115     0     0  con    2  1.1D-01  1.1D-04  9.159D-06  4.934D-01
   98  117     0     0  con    1  3.6D-01  8.2D-05  4.924D-06  4.934D-01
   99  119     0     0  con    1  2.5D-01  5.1D-05  7.905D-06  4.934D-01
  100  122     0     0  con    2  6.9D-02  2.5D-05  1.015D-05  4.934D-01
  101  124     0     0  con    1  3.3D-01  2.0D-05  2.404D-06  4.934D-01
  102  126     0     0  con    1  2.9D-01  2.3D-05  8.948D-06  4.934D-01

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            8     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.435D-02  4.955D-01
    1    4     1     0  ---    2  1.8D-01  3.1D-03  2.053D-02  4.955D-01
    2    5     0     0  con    0  1.0D+00  2.6D-03  9.439D-03  4.954D-01
    3    6     0     0  con    0  1.0D+00  2.3D-03  3.359D-03  4.954D-01
    4    7     0     0  con    0  1.0D+00  7.5D-04  2.331D-03  4.954D-01
    5    8     0     0  con    0  1.0D+00  1.1D-03  2.347D-03  4.954D-01
    6    9     0     0  con    0  1.0D+00  3.4D-03  4.812D-03  4.954D-01
    7   10     0     0  con    0  1.0D+00  9.1D-03  9.510D-03  4.954D-01
    8   11     0     0  con    0  1.0D+00  2.1D-02  1.431D-02  4.954D-01
    9   12     0     0  con    0  1.0D+00  3.6D-02  1.526D-02  4.953D-01
   10   13     0     0  con    0  1.0D+00  6.5D-02  1.538D-02  4.953D-01
   11   14     0     0  con    0  1.0D+00  4.2D-02  8.035D-03  4.953D-01
   12   15     0     0  con    0  1.0D+00  6.9D-03  1.987D-03  4.952D-01
   13   16     0     0  con    0  1.0D+00  2.1D-03  1.793D-03  4.952D-01
   14   17     0     0  con    0  1.0D+00  4.5D-03  2.866D-03  4.952D-01
   15   18     0     0  con    0  1.0D+00  2.6D-03  4.901D-03  4.952D-01
   16   19     0     0  con    0  1.0D+00  4.9D-03  6.612D-03  4.952D-01
   17   20     0     0  con    0  1.0D+00  4.2D-02  1.351D-02  4.952D-01
   18   21     0     0  con    0  1.0D+00  9.5D-02  2.178D-02  4.951D-01
   19   22     0     0  con    0  1.0D+00  2.8D-01  3.538D-02  4.949D-01
   20   23     0     0  con    0  1.0D+00  6.5D-01  5.133D-02  4.945D-01
   21   24     0     0  con    0  1.0D+00  4.3D-01  5.190D-02  4.942D-01
   22   26     0     0  con    1  4.0D-01  2.7D-01  3.216D-02  4.940D-01
   23   27     0     0  con    0  1.0D+00  1.6D-01  6.354D-02  4.938D-01
   24   28     0     0  con    0  1.0D+00  2.4D-01  6.502D-02  4.937D-01
   25   29     0     0  con    0  1.0D+00  1.2D-01  2.903D-03  4.936D-01
   26   30     0     0  con    0  1.0D+00  2.1D-02  4.821D-03  4.936D-01
   27   31     0     0  con    0  1.0D+00  2.5D-02  8.306D-03  4.936D-01
   28   32     0     0  con    0  1.0D+00  7.6D-02  1.448D-02  4.936D-01
   29   33     0     0  con    0  1.0D+00  7.8D-02  9.883D-03  4.936D-01
   30   34     0     0  con    0  1.0D+00  6.9D-02  1.455D-03  4.936D-01
   31   35     0     0  con    0  1.0D+00  2.1D-02  5.609D-04  4.936D-01
   32   36     0     0  con    0  1.0D+00  5.6D-03  2.244D-04  4.936D-01
   33   37     0     0  con    0  1.0D+00  2.3D-04  5.094D-05  4.936D-01
   34   38     0     0  con    0  1.0D+00  3.9D-04  5.095D-05  4.936D-01
   35   39     0     0  con    0  1.0D+00  5.4D-04  5.094D-05  4.936D-01
   36   40     0     0  con    0  1.0D+00  1.6D-03  1.064D-04  4.936D-01
   37   42     0     0  con    1  1.9D-01  1.1D-03  1.332D-04  4.936D-01
   38   43     0     0  con    0  1.0D+00  1.2D-03  9.640D-05  4.936D-01
   39   45     0     0  con    1  1.9D-01  3.8D-04  3.894D-04  4.936D-01
   40   46     0     0  con    0  1.0D+00  1.6D-03  2.794D-04  4.936D-01
   41   47     0     0  con    0  1.0D+00  2.3D-03  3.460D-04  4.936D-01
   42   48     0     0  con    0  1.0D+00  2.5D-03  5.986D-04  4.936D-01
   43   49     0     0  con    0  1.0D+00  7.1D-03  1.097D-03  4.936D-01
   44   50     0     0  con    0  1.0D+00  1.7D-02  1.848D-03  4.936D-01
   45   51     0     0  con    0  1.0D+00  4.1D-02  3.021D-03  4.936D-01
   46   52     0     0  con    0  1.0D+00  1.1D-01  4.789D-03  4.936D-01
   47   53     0     0  con    0  1.0D+00  2.6D-01  7.989D-03  4.936D-01
   48   54     0     0  con    0  1.0D+00  6.6D-01  1.009D-02  4.935D-01
   49   55     0     0  con    0  1.0D+00  8.9D-01  1.318D-02  4.935D-01
   50   56     0     0  con    0  1.0D+00  1.6D+00  2.380D-02  4.935D-01
   51   57     0     0  con    0  1.0D+00  1.4D+00  2.116D-02  4.935D-01
   52   58     0     0  con    0  1.0D+00  5.2D-01  1.756D-03  4.935D-01
   53   59     0     0  con    0  1.0D+00  1.3D-01  1.702D-03  4.935D-01
   54   60     0     0  con    0  1.0D+00  2.6D-02  2.385D-03  4.935D-01
   55   61     0     0  con    0  1.0D+00  3.9D-02  4.122D-03  4.935D-01
   56   62     0     0  con    0  1.0D+00  7.4D-02  1.504D-03  4.935D-01
   57   63     0     0  con    0  1.0D+00  4.1D-02  1.222D-03  4.935D-01
   58   64     0     0  con    0  1.0D+00  5.2D-02  2.375D-03  4.935D-01
   59   65     0     0  con    0  1.0D+00  1.3D-01  4.392D-03  4.935D-01
   60   66     0     0  con    0  1.0D+00  1.2D-01  5.499D-03  4.935D-01
   61   67     0     0  con    0  1.0D+00  9.7D-02  3.564D-03  4.935D-01
   62   68     0     0  con    0  1.0D+00  2.1D-01  1.916D-03  4.935D-01
   63   69     0     0  con    0  1.0D+00  2.3D-01  2.454D-03  4.935D-01
   64   71     0     0  con    1  5.0D-01  4.1D-02  1.136D-03  4.935D-01
   65   72     0     0  con    0  1.0D+00  1.0D-01  7.156D-04  4.935D-01
   66   73     0     0  con    0  1.0D+00  6.7D-03  3.669D-04  4.935D-01
   67   74     0     0  con    0  1.0D+00  2.0D-03  3.095D-05  4.935D-01
   68   75     0     0  con    0  1.0D+00  1.3D-02  3.783D-05  4.935D-01
   69   77     0     0  con    1  2.6D-02  7.0D-04  3.085D-05  4.935D-01
   70   78     0     0  con    0  1.0D+00  2.1D-03  3.087D-05  4.935D-01
   71   79     0     0  con    0  1.0D+00  6.4D-03  3.078D-05  4.935D-01
   72   80     0     0  con    0  1.0D+00  3.0D-03  7.625D-05  4.935D-01
   73   81     0     0  con    0  1.0D+00  5.4D-03  1.449D-04  4.935D-01
   74   82     0     0  con    0  1.0D+00  1.4D-02  3.138D-04  4.935D-01
   75   83     0     0  con    0  1.0D+00  8.3D-03  3.846D-04  4.935D-01
   76   84     0     0  con    0  1.0D+00  7.2D-02  2.141D-03  4.935D-01
   77   85     0     0  con    0  1.0D+00  2.1D-02  2.413D-03  4.935D-01
   78   86     0     0  con    0  1.0D+00  1.4D-01  4.131D-03  4.935D-01
   79   87     0     0  con    0  1.0D+00  3.3D-01  2.736D-03  4.934D-01
   80   88     0     0  con    0  1.0D+00  5.6D-01  1.118D-02  4.934D-01
   81   89     0     0  con    0  1.0D+00  2.1D-01  3.305D-03  4.934D-01
   82   90     0     0  con    0  1.0D+00  1.4D-01  1.015D-03  4.934D-01
   83   91     0     0  con    0  1.0D+00  1.0D-01  5.898D-04  4.934D-01
   84   92     0     0  con    0  1.0D+00  1.6D-02  1.166D-04  4.934D-01
   85   93     0     0  con    0  1.0D+00  1.1D-02  4.650D-05  4.934D-01
   86   94     0     0  con    0  1.0D+00  2.4D-03  2.223D-05  4.934D-01
   87   95     0     0  con    0  1.0D+00  6.4D-03  1.478D-05  4.934D-01
   88   96     0     0  con    0  1.0D+00  3.5D-03  5.657D-06  4.934D-01
   89   98     0     0  con    1  2.0D-01  1.4D-04  3.003D-06  4.934D-01
   90  100     0     0  con    1  1.7D-01  2.9D-04  8.599D-06  4.934D-01
   91  102     0     0  con    1  1.9D-01  3.1D-04  9.859D-06  4.934D-01
   92  104     0     0  con    1  4.8D-01  2.2D-04  1.001D-05  4.934D-01
   93  107     0     0  con    2  3.0D-02  4.2D-05  9.759D-06  4.934D-01
   94  109     0     0  con    1  3.2D-01  7.5D-05  4.746D-06  4.934D-01
   95  110     0     0  con    0  1.0D+00  1.8D-04  1.332D-06  4.934D-01
   96  112     0     0  con    1  2.9D-01  2.7D-05  9.270D-07  4.934D-01

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            8     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.435D-02  4.955D-01
    1    4     1     0  ---    2  1.8D-01  3.1D-03  2.053D-02  4.955D-01
    2    5     0     0  con    0  1.0D+00  2.6D-03  9.439D-03  4.954D-01
    3    6     0     0  con    0  1.0D+00  2.3D-03  3.359D-03  4.954D-01
    4    7     0     0  con    0  1.0D+00  7.5D-04  2.331D-03  4.954D-01
    5    8     0     0  con    0  1.0D+00  1.1D-03  2.347D-03  4.954D-01
    6    9     0     0  con    0  1.0D+00  3.4D-03  4.812D-03  4.954D-01
    7   10     0     0  con    0  1.0D+00  9.1D-03  9.510D-03  4.954D-01
    8   11     0     0  con    0  1.0D+00  2.1D-02  1.431D-02  4.954D-01
    9   12     0     0  con    0  1.0D+00  3.6D-02  1.526D-02  4.953D-01
   10   13     0     0  con    0  1.0D+00  6.5D-02  1.538D-02  4.953D-01
   11   14     0     0  con    0  1.0D+00  4.2D-02  8.046D-03  4.953D-01
   12   15     0     0  con    0  1.0D+00  6.9D-03  1.987D-03  4.952D-01
   13   16     0     0  con    0  1.0D+00  2.1D-03  1.793D-03  4.952D-01
   14   17     0     0  con    0  1.0D+00  4.5D-03  2.866D-03  4.952D-01
   15   18     0     0  con    0  1.0D+00  2.6D-03  4.899D-03  4.952D-01
   16   19     0     0  con    0  1.0D+00  4.9D-03  6.614D-03  4.952D-01
   17   20     0     0  con    0  1.0D+00  4.2D-02  1.351D-02  4.952D-01
   18   21     0     0  con    0  1.0D+00  9.5D-02  2.176D-02  4.951D-01
   19   22     0     0  con    0  1.0D+00  2.8D-01  3.536D-02  4.949D-01
   20   23     0     0  con    0  1.0D+00  6.5D-01  5.131D-02  4.945D-01
   21   24     0     0  con    0  1.0D+00  4.3D-01  5.117D-02  4.942D-01
   22   26     0     0  con    1  4.0D-01  2.7D-01  3.212D-02  4.940D-01
   23   27     0     0  con    0  1.0D+00  1.7D-01  6.374D-02  4.938D-01
   24   28     0     0  con    0  1.0D+00  2.4D-01  6.553D-02  4.937D-01
   25   29     0     0  con    0  1.0D+00  1.2D-01  2.847D-03  4.936D-01
   26   30     0     0  con    0  1.0D+00  2.1D-02  4.832D-03  4.936D-01
   27   31     0     0  con    0  1.0D+00  2.4D-02  8.421D-03  4.936D-01
   28   32     0     0  con    0  1.0D+00  7.6D-02  1.490D-02  4.936D-01
   29   33     0     0  con    0  1.0D+00  7.7D-02  1.057D-02  4.936D-01
   30   34     0     0  con    0  1.0D+00  7.5D-02  1.771D-03  4.936D-01
   31   35     0     0  con    0  1.0D+00  2.0D-02  2.855D-04  4.936D-01
   32   36     0     0  con    0  1.0D+00  3.8D-03  2.196D-04  4.936D-01
   33   37     0     0  con    0  1.0D+00  3.0D-04  5.094D-05  4.936D-01
   34   38     0     0  con    0  1.0D+00  2.4D-04  5.599D-05  4.936D-01
   35   39     0     0  con    0  1.0D+00  4.0D-04  9.099D-05  4.936D-01
   36   40     0     0  con    0  1.0D+00  9.6D-04  1.154D-04  4.936D-01
   37   42     0     0  con    1  2.7D-01  2.7D-04  2.806D-04  4.936D-01
   38   43     0     0  con    0  1.0D+00  6.0D-04  1.409D-04  4.936D-01
   39   44     0     0  con    0  1.0D+00  1.2D-03  2.195D-04  4.936D-01
   40   45     0     0  con    0  1.0D+00  1.7D-03  4.162D-04  4.936D-01
   41   46     0     0  con    0  1.0D+00  1.9D-03  8.413D-04  4.936D-01
   42   47     0     0  con    0  1.0D+00  3.1D-03  1.497D-03  4.936D-01
   43   48     0     0  con    0  1.0D+00  5.5D-03  2.451D-03  4.936D-01
   44   49     0     0  con    0  1.0D+00  1.2D-02  4.001D-03  4.936D-01
   45   50     0     0  con    0  1.0D+00  2.7D-02  6.089D-03  4.936D-01
   46   51     0     0  con    0  1.0D+00  6.5D-02  8.889D-03  4.936D-01
   47   52     0     0  con    0  1.0D+00  1.7D-01  1.285D-02  4.936D-01
   48   53     0     0  con    0  1.0D+00  4.1D-01  1.993D-02  4.936D-01
   49   54     0     0  con    0  1.0D+00  8.5D-01  2.209D-02  4.935D-01
   50   56     0     0  con    1  3.2D-02  2.2D-01  3.316D-02  4.935D-01
   51   57     0     0  con    0  1.0D+00  9.6D-01  2.589D-02  4.935D-01
   52   58     0     0  con    0  1.0D+00  9.8D-01  8.231D-03  4.935D-01
   53   59     0     0  con    0  1.0D+00  1.3D-01  1.876D-03  4.935D-01
   54   60     0     0  con    0  1.0D+00  7.2D-02  2.343D-03  4.935D-01
   55   61     0     0  con    0  1.0D+00  1.2D-01  1.376D-02  4.935D-01
   56   62     0     0  con    0  1.0D+00  2.6D-02  8.322D-03  4.935D-01
   57   63     0     0  con    0  1.0D+00  2.0D-01  6.634D-03  4.935D-01
   58   64     0     0  con    0  1.0D+00  3.5D-01  7.699D-03  4.935D-01
   59   65     0     0  con    0  1.0D+00  4.3D-01  4.426D-03  4.935D-01
   60   66     0     0  con    0  1.0D+00  4.3D-02  9.943D-04  4.935D-01
   61   67     0     0  con    0  1.0D+00  8.5D-03  2.494D-03  4.935D-01
   62   68     0     0  con    0  1.0D+00  1.7D-02  3.002D-03  4.935D-01
   63   69     0     0  con    0  1.0D+00  1.1D-02  1.532D-03  4.935D-01
   64   70     0     0  con    0  1.0D+00  3.8D-02  6.361D-04  4.935D-01
   65   71     0     0  con    0  1.0D+00  5.4D-03  1.892D-04  4.935D-01
   66   72     0     0  con    0  1.0D+00  8.0D-04  3.081D-05  4.935D-01
   67   73     0     0  con    0  1.0D+00  1.4D-03  3.081D-05  4.935D-01
   68   74     0     0  con    0  1.0D+00  4.3D-04  3.081D-05  4.935D-01
   69   75     0     0  con    0  1.0D+00  4.1D-03  1.249D-04  4.935D-01
   70   76     0     0  con    0  1.0D+00  4.2D-03  2.008D-04  4.935D-01
   71   77     0     0  con    0  1.0D+00  4.2D-03  2.706D-04  4.935D-01
   72   78     0     0  con    0  1.0D+00  1.5D-02  3.264D-04  4.935D-01
   73   79     0     0  con    0  1.0D+00  3.6D-03  1.483D-04  4.935D-01
   74   80     0     0  con    0  1.0D+00  6.9D-03  1.557D-03  4.935D-01
   75   81     0     0  con    0  1.0D+00  1.2D-02  3.264D-03  4.935D-01
   76   82     0     0  con    0  1.0D+00  5.2D-02  6.434D-03  4.935D-01
   77   83     0     0  con    0  1.0D+00  7.7D-02  8.539D-03  4.935D-01
   78   84     0     0  con    0  1.0D+00  2.6D-01  1.032D-02  4.934D-01
   79   85     0     0  con    0  1.0D+00  3.4D-01  9.270D-03  4.934D-01
   80   87     0     0  con    1  2.5D-02  6.3D-02  1.238D-02  4.934D-01
   81   88     0     0  con    0  1.0D+00  4.8D-01  5.203D-03  4.934D-01
   82   89     0     0  con    0  1.0D+00  1.4D-01  9.557D-04  4.934D-01
   83   90     0     0  con    0  1.0D+00  7.0D-02  2.208D-03  4.934D-01
   84   91     0     0  con    0  1.0D+00  5.2D-02  1.654D-03  4.934D-01
   85   92     0     0  con    0  1.0D+00  2.9D-02  7.019D-04  4.934D-01
   86   93     0     0  con    0  1.0D+00  2.1D-02  2.940D-04  4.934D-01
   87   94     0     0  con    0  1.0D+00  1.2D-02  4.473D-04  4.934D-01
   88   95     0     0  con    0  1.0D+00  3.3D-02  4.343D-04  4.934D-01
   89   97     0     0  con    1  3.4D-01  5.1D-03  3.638D-04  4.934D-01
   90   98     0     0  con    0  1.0D+00  2.3D-02  5.032D-05  4.934D-01
   91   99     0     0  con    0  1.0D+00  9.8D-03  1.230D-04  4.934D-01
   92  100     0     0  con    0  1.0D+00  8.7D-03  1.646D-04  4.934D-01
   93  101     0     0  con    0  1.0D+00  1.9D-03  2.373D-04  4.934D-01
   94  102     0     0  con    0  1.0D+00  8.7D-03  2.251D-04  4.934D-01
   95  104     0     0  con    1  1.8D-02  1.1D-03  3.490D-04  4.934D-01
   96  105     0     0  con    0  1.0D+00  1.2D-02  2.074D-04  4.934D-01
   97  106     0     0  con    0  1.0D+00  6.4D-03  2.953D-05  4.934D-01
   98  107     0     0  con    0  1.0D+00  2.3D-03  2.667D-05  4.934D-01
   99  109     0     0  con    1  2.4D-01  8.8D-03  3.376D-05  4.934D-01
  100  111     0     0  con    1  3.7D-01  2.2D-03  5.831D-05  4.934D-01
  101  112     0     0  con    0  1.0D+00  1.9D-03  4.152D-05  4.934D-01
  102  113     0     0  con    0  1.0D+00  2.5D-02  1.325D-04  4.934D-01

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            8     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.435D-02  4.955D-01
    1    4     1     0  ---    2  1.8D-01  3.1D-03  2.053D-02  4.955D-01
    2    5     0     0  con    0  1.0D+00  2.6D-03  9.437D-03  4.954D-01
    3    6     0     0  con    0  1.0D+00  2.3D-03  3.360D-03  4.954D-01
    4    7     0     0  con    0  1.0D+00  7.5D-04  2.331D-03  4.954D-01
    5    8     0     0  con    0  1.0D+00  1.1D-03  2.348D-03  4.954D-01
    6    9     0     0  con    0  1.0D+00  3.4D-03  4.812D-03  4.954D-01
    7   10     0     0  con    0  1.0D+00  9.1D-03  9.511D-03  4.954D-01
    8   11     0     0  con    0  1.0D+00  2.1D-02  1.431D-02  4.954D-01
    9   12     0     0  con    0  1.0D+00  3.6D-02  1.526D-02  4.953D-01
